id,cast
862,tomhanks
862,timallen
862,donrickles
8844,robinwilliams
8844,jonathanhyde
8844,kirstendunst
949,alpacino
949,robertdeniro
949,valkilmer
710,piercebrosnan
710,seanbean
710,izabellascorupco
524,robertdeniro
524,sharonstone
524,joepesci
5,timroth
5,antoniobanderas
5,jenniferbeals
9273,jimcarrey
9273,ianmcneice
9273,simoncallow
63,brucewillis
63,madeleinestowe
63,bradpitt
9598,christinecavanaugh
9598,miriammargolyes
9598,dannymann
9603,aliciasilverstone
9603,staceydash
9603,brittanymurphy
9312,christopherlambert
9312,robinshou
9312,lindenashby
807,bradpitt
807,morganfreeman
807,gwynethpaltrow
10530,irenebedard
10530,melgibson
10530,davidogdenstiers
629,stephenbaldwin
629,gabrielbyrne
629,chazzpalminteri
10634,icecube
10634,christucker
10634,nialong
755,georgeclooney
755,quentintarantino
755,harveykeitel
9208,johntravolta
9208,christianslater
9208,samanthamathis
406,vincentcassel
406,hubertkoundé
406,saïdtaghmaoui
9614,adamsandler
9614,benstiller
9614,christophermcdonald
197,melgibson
197,catherinemccormack
197,sophiemarceau
103,robertdeniro
103,cybillshepherd
103,harveykeitel
9737,willsmith
9737,martinlawrence
9737,téaleoni
10474,leonardodicaprio
10474,lorrainebracco
10474,jamesmadio
568,tomhanks
568,billpaxton
568,kevinbacon
414,valkilmer
414,tommyleejones
414,jimcarrey
8839,christinaricci
8839,billpullman
8839,cathymoriarty
8963,denzelwashington
8963,genehackman
8963,mattcraven
8068,antoniobanderas
8068,salmahayek
8068,joaquimdealmeida
1572,brucewillis
1572,jeremyirons
1572,samuell.jackson
9482,sylvesterstallone
9482,dianelane
9482,armandassante
9348,natashahenstridge
9348,benkingsley
9348,michaelmadsen
9804,kevincostner
9804,chaimgirafi
9804,rickaviles
76,ethanhawke
76,juliedelpy
76,andreaeckert
11017,adamsandler
11017,darrenmcgavin
11017,bridgettewilson
2292,briano'halloran
2292,jeffanderson
2292,jasonmewes
8467,jimcarrey
8467,jeffdaniels
8467,laurenholly
522,johnnydepp
522,martinlandau
522,sarahjessicaparker
628,bradpitt
628,tomcruise
628,kirstendunst
11,markhamill
11,harrisonford
11,carriefisher
4476,bradpitt
4476,anthonyhopkins
4476,aidanquinn
241,woodyharrelson
241,juliettelewis
241,robertdowneyjr.
6950,dustinhoffman
6950,renerusso
6950,morganfreeman
101,jeanreno
101,natalieportman
101,garyoldman
680,johntravolta
680,samuell.jackson
680,umathurman
2164,kurtrussell
2164,jamesspader
2164,jayedavidson
11395,timallen
11395,judgereinhold
11395,wendycrewson
278,timrobbins
278,morganfreeman
278,bobgunton
193,patrickstewart
193,jonathanfrakes
193,brentspiner
1587,johnnydepp
1587,leonardodicaprio
1587,juliettelewis
3049,jimcarrey
3049,seanyoung
3049,courteneycox
9495,brandonlee
9495,rochelledavis
9495,erniehudson
888,johngoodman
888,elizabethperkins
888,rickmoranis
13,tomhanks
13,robinwright
13,garysinise
712,hughgrant
712,andiemacdowell
712,jamesfleet
8587,jonathantaylorthomas
8587,matthewbroderick
8587,jamesearljones
854,jimcarrey
854,camerondiaz
854,nancyfish
9359,melgibson
9359,jodiefoster
9359,jamesgarner
1637,keanureeves
1637,dennishopper
1637,sandrabullock
36955,arnoldschwarzenegger
36955,jamieleecurtis
36955,tomarnold
2758,raúljuliá
2758,anjelicahuston
2758,christopherlloyd
306,eddiemurphy
306,judgereinhold
306,héctorelizondo
1607,robertdeniro
1607,chazzpalminteri
1607,lillobrancato
6075,alpacino
6075,seanpenn
6075,penelopeannmiller
9350,sylvesterstallone
9350,johnlithgow
9350,michaelrooker
9571,jasonlondon
9571,rorycochrane
9571,wileywiggins
9739,sylvesterstallone
9739,wesleysnipes
9739,sandrabullock
37233,tomcruise
37233,jeannetripplehorn
37233,genehackman
5503,harrisonford
5503,tommyleejones
5503,selaward
9255,charliesheen
9255,lloydbridges
9255,valeriagolino
329,samneill
329,lauradern
329,jeffgoldblum
9593,arnoldschwarzenegger
9593,f.murrayabraham
9593,artcarney
788,robinwilliams
788,sallyfield
788,piercebrosnan
9800,tomhanks
9800,denzelwashington
9800,jasonrobards
8005,caryelwes
8005,domdeluise
8005,rogerrees
424,liamneeson
424,benkingsley
424,ralphfiennes
858,tomhanks
858,megryan
858,billpullman
78,harrisonford
78,rutgerhauer
78,seanyoung
9479,dannyelfman
9479,chrissarandon
9479,catherineo'hara
11969,kurtrussell
11969,valkilmer
11969,samelliott
319,christianslater
319,patriciaarquette
319,michaelrapaport
771,macaulayculkin
771,joepesci
771,danielstern
251,patrickswayze
251,demimoore
251,whoopigoldberg
812,scottweinger
812,robinwilliams
812,lindalarkin
280,arnoldschwarzenegger
280,lindahamilton
280,robertpatrick
581,kevincostner
581,marymcdonnell
581,grahamgreene
268,jacknicholson
268,michaelkeaton
268,kimbasinger
274,jodiefoster
274,anthonyhopkins
274,scottglenn
408,adrianacaselotti
408,lucillelaverne
408,harrystockwell
10020,paigeo'hara
10020,robbybenson
10020,richardwhite
10895,melblanc
10895,donbrodie
10895,waltercatlett
114,juliaroberts
114,richardgere
114,ralphbellamy
275,williamh.macy
275,francesmcdormand
275,stevebuscemi
10112,philharris
10112,sterlingholloway
10112,scatmancrothers
1592,richardgere
1592,edwardnorton
1592,lauralinney
954,tomcruise
954,jonvoight
954,emmanuellebéart
8840,dennisquaid
8840,davidthewlis
8840,petepostlethwaite
2300,michaeljordan
2300,wayneknight
2300,billywest
9802,seanconnery
9802,nicolascage
9802,edharris
664,helenhunt
664,billpaxton
664,caryelwes
9323,atsukotanaka
9323,akioohtsuka
9323,iemasakayumi
935,petersellers
935,georgec.scott
935,sterlinghayden
627,ewanmcgregor
627,ewenbremner
627,jonnyleemiller
602,willsmith
602,billpullman
602,jeffgoldblum
10545,tomhulce
10545,demimoore
10545,tonyjay
9894,jimcarrey
9894,matthewbroderick
9894,lesliemann
9268,arnoldschwarzenegger
9268,jamescaan
9268,vanessawilliams
9327,eddiemurphy
9327,jadapinkettsmith
9327,jamescoburn
1645,matthewmcconaughey
1645,sandrabullock
1645,samuell.jackson
3595,melgibson
3595,garysinise
3595,delroylindo
10830,marawilson
10830,dannydevito
10830,embethdavidtz
238,marlonbrando
238,alpacino
