title,genre
Toy Story,Animation
Toy Story,Comedy
Toy Story,Family
Jumanji,Adventure
Jumanji,Fantasy
Jumanji,Family
Heat,Action
Heat,Crime
Heat,Drama
Heat,Thriller
GoldenEye,Adventure
GoldenEye,Action
GoldenEye,Thriller
Casino,Drama
Casino,Crime
Four Rooms,Crime
Four Rooms,Comedy
Ace Ventura: When Nature Calls,Crime
Ace Ventura: When Nature Calls,Comedy
Ace Ventura: When Nature Calls,Adventure
Twelve Monkeys,Science Fiction
Twelve Monkeys,Thriller
Twelve Monkeys,Mystery
Babe,Fantasy
Babe,Drama
Babe,Comedy
Babe,Family
Clueless,Comedy
Clueless,Drama
Clueless,Romance
Mortal Kombat,Action
Mortal Kombat,Fantasy
Se7en,Crime
Se7en,Mystery
Se7en,Thriller
Pocahontas,Adventure
Pocahontas,Animation
Pocahontas,Drama
Pocahontas,Family
The Usual Suspects,Drama
The Usual Suspects,Crime
The Usual Suspects,Thriller
Friday,Comedy
From Dusk Till Dawn,Horror
From Dusk Till Dawn,Action
From Dusk Till Dawn,Thriller
From Dusk Till Dawn,Crime
Broken Arrow,Action
Broken Arrow,Adventure
Broken Arrow,Drama
Broken Arrow,Thriller
La Haine,Drama
Happy Gilmore,Comedy
Braveheart,Action
Braveheart,Drama
Braveheart,History
Braveheart,War
Taxi Driver,Crime
Taxi Driver,Drama
Bad Boys,Action
Bad Boys,Comedy
Bad Boys,Crime
Bad Boys,Thriller
The Basketball Diaries,Drama
The Basketball Diaries,Crime
Apollo 13,Drama
Batman Forever,Action
Batman Forever,Crime
Batman Forever,Fantasy
Casper,Fantasy
Casper,Comedy
Casper,Family
Crimson Tide,Action
Crimson Tide,Thriller
Crimson Tide,Drama
Desperado,Thriller
Desperado,Action
Desperado,Crime
Die Hard: With a Vengeance,Action
Die Hard: With a Vengeance,Thriller
Judge Dredd,Science Fiction
Species,Science Fiction
Species,Horror
Species,Action
Waterworld,Adventure
Waterworld,Action
Before Sunrise,Drama
Before Sunrise,Romance
Billy Madison,Comedy
Clerks,Comedy
Dumb and Dumber,Comedy
Ed Wood,Comedy
Ed Wood,Drama
Ed Wood,History
Interview with the Vampire,Horror
Interview with the Vampire,Romance
Star Wars,Adventure
Star Wars,Action
Star Wars,Science Fiction
Legends of the Fall,Adventure
Legends of the Fall,Drama
Legends of the Fall,Romance
Legends of the Fall,War
Natural Born Killers,Crime
Natural Born Killers,Thriller
Natural Born Killers,Drama
Outbreak,Action
Outbreak,Drama
Outbreak,Science Fiction
Outbreak,Thriller
Leon: The Professional,Thriller
Leon: The Professional,Crime
Leon: The Professional,Drama
Pulp Fiction,Thriller
Pulp Fiction,Crime
Stargate,Action
Stargate,Adventure
Stargate,Science Fiction
The Santa Clause,Fantasy
The Santa Clause,Drama
The Santa Clause,Comedy
The Santa Clause,Family
The Shawshank Redemption,Drama
The Shawshank Redemption,Crime
Star Trek: Generations,Science Fiction
Star Trek: Generations,Action
Star Trek: Generations,Adventure
Star Trek: Generations,Thriller
What's Eating Gilbert Grape,Romance
What's Eating Gilbert Grape,Drama
Ace Ventura: Pet Detective,Comedy
Ace Ventura: Pet Detective,Mystery
The Crow,Fantasy
The Crow,Action
The Crow,Thriller
The Flintstones,Fantasy
The Flintstones,Comedy
The Flintstones,Family
Forrest Gump,Comedy
Forrest Gump,Drama
Forrest Gump,Romance
Four Weddings and a Funeral,Comedy
Four Weddings and a Funeral,Drama
Four Weddings and a Funeral,Romance
The Lion King,Family
The Lion King,Animation
The Lion King,Drama
The Mask,Romance
The Mask,Comedy
The Mask,Crime
The Mask,Fantasy
Maverick,Action
Maverick,Adventure
Maverick,Comedy
Maverick,Drama
Maverick,Western
Speed,Action
Speed,Adventure
Speed,Crime
True Lies,Action
True Lies,Thriller
Addams Family Values,Comedy
Addams Family Values,Family
Addams Family Values,Fantasy
Beverly Hills Cop III,Action
Beverly Hills Cop III,Comedy
Beverly Hills Cop III,Crime
A Bronx Tale,Drama
A Bronx Tale,Crime
Carlito's Way,Action
Carlito's Way,Crime
Carlito's Way,Drama
Carlito's Way,Thriller
Cliffhanger,Action
Cliffhanger,Adventure
Cliffhanger,Thriller
Dazed and Confused,Comedy
Dazed and Confused,Drama
Demolition Man,Crime
Demolition Man,Action
Demolition Man,Science Fiction
The Firm,Drama
The Firm,Mystery
The Firm,Thriller
The Fugitive,Adventure
The Fugitive,Action
The Fugitive,Thriller
The Fugitive,Crime
The Fugitive,Mystery
Hot Shots! Part Deux,Action
Hot Shots! Part Deux,Comedy
Hot Shots! Part Deux,War
Jurassic Park,Adventure
Jurassic Park,Science Fiction
Last Action Hero,Adventure
Last Action Hero,Fantasy
Last Action Hero,Action
Last Action Hero,Comedy
Last Action Hero,Family
Mrs. Doubtfire,Comedy
Mrs. Doubtfire,Drama
Mrs. Doubtfire,Family
Philadelphia,Drama
Robin Hood: Men in Tights,Comedy
Schindler's List,Drama
Schindler's List,History
Schindler's List,War
Sleepless in Seattle,Comedy
Sleepless in Seattle,Drama
Sleepless in Seattle,Romance
Blade Runner,Science Fiction
Blade Runner,Drama
Blade Runner,Thriller
The Nightmare Before Christmas,Fantasy
The Nightmare Before Christmas,Animation
The Nightmare Before Christmas,Family
Tombstone,Action
Tombstone,Adventure
Tombstone,Drama
Tombstone,History
Tombstone,Western
True Romance,Action
True Romance,Thriller
True Romance,Crime
True Romance,Romance
Home Alone,Comedy
Home Alone,Family
Ghost,Fantasy
Ghost,Drama
Ghost,Thriller
Ghost,Mystery
Ghost,Romance
Aladdin,Animation
Aladdin,Family
Aladdin,Comedy
Aladdin,Adventure
Aladdin,Fantasy
Aladdin,Romance
Terminator 2: Judgment Day,Action
Terminator 2: Judgment Day,Thriller
Terminator 2: Judgment Day,Science Fiction
Dances with Wolves,Adventure
Dances with Wolves,Drama
Dances with Wolves,Western
Batman,Fantasy
Batman,Action
The Silence of the Lambs,Crime
The Silence of the Lambs,Drama
The Silence of the Lambs,Thriller
Snow White and the Seven Dwarfs,Fantasy
Snow White and the Seven Dwarfs,Animation
Snow White and the Seven Dwarfs,Family
Beauty and the Beast,Romance
Beauty and the Beast,Family
Beauty and the Beast,Animation
Beauty and the Beast,Fantasy
Beauty and the Beast,Music
Pinocchio,Animation
Pinocchio,Family
Pretty Woman,Romance
Pretty Woman,Comedy
Fargo,Crime
Fargo,Drama
Fargo,Thriller
The Aristocats,Animation
The Aristocats,Comedy
The Aristocats,Family
The Aristocats,Adventure
Primal Fear,Crime
Primal Fear,Drama
Primal Fear,Mystery
Primal Fear,Thriller
Mission: Impossible,Adventure
Mission: Impossible,Action
Mission: Impossible,Thriller
DragonHeart,Fantasy
Space Jam,Animation
Space Jam,Comedy
Space Jam,Drama
Space Jam,Family
Space Jam,Fantasy
The Rock,Action
The Rock,Adventure
The Rock,Thriller
Twister,Action
Twister,Adventure
Twister,Drama
Ghost in the Shell,Action
Ghost in the Shell,Animation
Ghost in the Shell,Science Fiction
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,War
Trainspotting,Drama
Trainspotting,Crime
Independence Day,Action
Independence Day,Adventure
Independence Day,Science Fiction
The Hunchback of Notre Dame,Drama
The Hunchback of Notre Dame,Animation
The Hunchback of Notre Dame,Family
The Cable Guy,Comedy
The Cable Guy,Drama
The Cable Guy,Thriller
Eraser,Action
Eraser,Drama
Eraser,Mystery
Eraser,Thriller
The Nutty Professor,Fantasy
The Nutty Professor,Comedy
The Nutty Professor,Romance
The Nutty Professor,Science Fiction
A Time to Kill,Crime
A Time to Kill,Drama
A Time to Kill,Thriller
Ransom,Action
Ransom,Thriller
Matilda,Comedy
Matilda,Family
Matilda,Fantasy
The Godfather,Drama
The Godfather,Crime
Singin' in the Rain,Comedy
Singin' in the Rain,Music
Singin' in the Rain,Romance
Breakfast at Tiffany's,Comedy
Breakfast at Tiffany's,Drama
Breakfast at Tiffany's,Romance
Vertigo,Mystery
Vertigo,Romance
Vertigo,Thriller
Rear Window,Drama
Rear Window,Mystery
Rear Window,Thriller
North by Northwest,Mystery
North by Northwest,Thriller
The Apartment,Comedy
The Apartment,Drama
The Apartment,Romance
Some Like It Hot,Comedy
Some Like It Hot,Romance
Casablanca,Drama
Casablanca,Romance
The Maltese Falcon,Mystery
The Maltese Falcon,Crime
The Maltese Falcon,Thriller
Roman Holiday,Comedy
Roman Holiday,Romance
The Wizard of Oz,Adventure
The Wizard of Oz,Family
The Wizard of Oz,Fantasy
Gone with the Wind,Drama
Gone with the Wind,Romance
Gone with the Wind,War
Sunset Boulevard,Drama
Citizen Kane,Mystery
Citizen Kane,Drama
2001: A Space Odyssey,Science Fiction
2001: A Space Odyssey,Mystery
2001: A Space Odyssey,Adventure
It's a Wonderful Life,Drama
It's a Wonderful Life,Family
It's a Wonderful Life,Fantasy
Night of the Living Dead,Horror
Cool Runnings,Comedy
Cinderella,Family
Cinderella,Fantasy
Cinderella,Animation
Cinderella,Romance
The Sword in the Stone,Animation
The Sword in the Stone,Family
Robin Hood: Prince of Thieves,Adventure
Mary Poppins,Comedy
Mary Poppins,Family
Mary Poppins,Fantasy
Dumbo,Animation
Dumbo,Family
Alice in Wonderland,Animation
Alice in Wonderland,Adventure
Alice in Wonderland,Family
Alice in Wonderland,Fantasy
The Fox and the Hound,Adventure
The Fox and the Hound,Animation
The Fox and the Hound,Drama
The Fox and the Hound,Family
The Sound of Music,Drama
The Sound of Music,Family
The Sound of Music,Music
The Sound of Music,Romance
Die Hard,Action
Die Hard,Thriller
Romeo + Juliet,Drama
Romeo + Juliet,Romance
Sleepers,Crime
Sleepers,Drama
Sleepers,Thriller
Aladdin and the King of Thieves,Adventure
Aladdin and the King of Thieves,Animation
Aladdin and the King of Thieves,Family
Willy Wonka & the Chocolate Factory,Family
Willy Wonka & the Chocolate Factory,Fantasy
A Fish Called Wanda,Comedy
A Fish Called Wanda,Crime
Life of Brian,Comedy
Dial M for Murder,Crime
Dial M for Murder,Mystery
Dial M for Murder,Thriller
Dirty Dancing,Drama
Dirty Dancing,Music
Dirty Dancing,Romance
Reservoir Dogs,Crime
Reservoir Dogs,Thriller
Platoon,Drama
Platoon,War
Platoon,Action
Basic Instinct,Thriller
Basic Instinct,Mystery
E.T. the Extra-Terrestrial,Science Fiction
E.T. the Extra-Terrestrial,Adventure
