id,imdb_id,title,director,release_year,average_vote
862,tt0114709,Toy Story,johnlasseter,1995,7
8844,tt0113497,Jumanji,joejohnston,1995,6
949,tt0113277,Heat,michaelmann,1995,7
710,tt0113189,GoldenEye,martincampbell,1995,6
524,tt0112641,Casino,martinscorsese,1995,7
5,tt0113101,Four Rooms,allisonanders,1995,6
9273,tt0112281,Ace Ventura: When Nature Calls,steveoedekerk,1995,6
63,tt0114746,Twelve Monkeys,terrygilliam,1995,7
9598,tt0112431,Babe,chrisnoonan,1995,6
9603,tt0112697,Clueless,amyheckerling,1995,6
9312,tt0113855,Mortal Kombat,paulw.s.anderson,1995,5
807,tt0114369,Se7en,davidfincher,1995,8
10530,tt0114148,Pocahontas,mikegabriel,1995,6
629,tt0114814,The Usual Suspects,bryansinger,1995,8
10634,tt0113118,Friday,f.garygray,1995,7
755,tt0116367,From Dusk Till Dawn,robertrodriguez,1996,6
9208,tt0115759,Broken Arrow,johnwoo,1996,5
406,tt0113247,La Haine,mathieukassovitz,1995,7
9614,tt0116483,Happy Gilmore,dennisdugan,1996,6
197,tt0112573,Braveheart,melgibson,1995,7
103,tt0075314,Taxi Driver,martinscorsese,1976,8
9737,tt0112442,Bad Boys,michaelbay,1995,6
10474,tt0112461,The Basketball Diaries,scottkalvert,1995,7
568,tt0112384,Apollo 13,ronhoward,1995,7
414,tt0112462,Batman Forever,joelschumacher,1995,5
8839,tt0112642,Casper,bradsilberling,1995,6
8963,tt0112740,Crimson Tide,tonyscott,1995,7
8068,tt0112851,Desperado,robertrodriguez,1995,6
1572,tt0112864,Die Hard: With a Vengeance,johnmctiernan,1995,6
9482,tt0113492,Judge Dredd,dannycannon,1995,5
9348,tt0114508,Species,rogerdonaldson,1995,5
9804,tt0114898,Waterworld,kevinreynolds,1995,5
76,tt0112471,Before Sunrise,richardlinklater,1995,7
11017,tt0112508,Billy Madison,tamradavis,1995,6
2292,tt0109445,Clerks,kevinsmith,1994,7
8467,tt0109686,Dumb and Dumber,peterfarrelly,1994,6
522,tt0109707,Ed Wood,timburton,1994,7
628,tt0110148,Interview with the Vampire,neiljordan,1994,7
11,tt0076759,Star Wars,georgelucas,1977,8
4476,tt0110322,Legends of the Fall,edwardzwick,1994,7
241,tt0110632,Natural Born Killers,oliverstone,1994,6
6950,tt0114069,Outbreak,wolfgangpetersen,1995,6
101,tt0110413,Leon: The Professional,lucbesson,1994,8
680,tt0110912,Pulp Fiction,quentintarantino,1994,8
2164,tt0111282,Stargate,rolandemmerich,1994,6
11395,tt0111070,The Santa Clause,johnpasquin,1994,6
278,tt0111161,The Shawshank Redemption,frankdarabont,1994,8
193,tt0111280,Star Trek: Generations,davidcarson,1994,6
1587,tt0108550,What's Eating Gilbert Grape,lassehallström,1993,7
3049,tt0109040,Ace Ventura: Pet Detective,tomshadyac,1994,6
9495,tt0109506,The Crow,alexproyas,1994,7
888,tt0109813,The Flintstones,brianlevant,1994,5
13,tt0109830,Forrest Gump,robertzemeckis,1994,8
712,tt0109831,Four Weddings and a Funeral,mikenewell,1994,6
8587,tt0110357,The Lion King,rogerallers,1994,8
854,tt0110475,The Mask,chuckrussell,1994,6
9359,tt0110478,Maverick,richarddonner,1994,6
1637,tt0111257,Speed,jandebont,1994,6
36955,tt0111503,True Lies,jamescameron,1994,6
2758,tt0106220,Addams Family Values,barrysonnenfeld,1993,6
306,tt0109254,Beverly Hills Cop III,johnlandis,1994,5
1607,tt0106489,A Bronx Tale,robertdeniro,1993,7
6075,tt0106519,Carlito's Way,briandepalma,1993,7
9350,tt0106582,Cliffhanger,rennyharlin,1993,6
9571,tt0106677,Dazed and Confused,richardlinklater,1993,7
